STATUS | wrapper  | 2019/01/17 09:11:13 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2019/01/17 09:11:13 | Launching a JVM...
INFO   | jvm 1    | 2019/01/17 09:11:13 | Java HotSpot(TM) 64-Bit Server VM warning: ignoring option MaxPermSize=64M; support was removed in 8.0
INFO   | jvm 1    | 2019/01/17 09:11:13 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2019/01/17 09:11:13 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2019/01/17 09:11:13 | 
INFO   | jvm 1    | 2019/01/17 09:11:14 | log4j:WARN No appenders could be found for logger (io.mycat.memory.MyCatMemory).
INFO   | jvm 1    | 2019/01/17 09:11:14 | log4j:WARN Please initialize the log4j system properly.
INFO   | jvm 1    | 2019/01/17 09:11:14 | log4j:WARN See http://logging.apache.org/log4j/1.2/faq.html#noconfig for more info.
INFO   | jvm 1    | 2019/01/17 09:11:14 | MyCAT Server startup successfully. see logs in logs/mycat.log
STATUS | wrapper  | 2019/01/17 09:18:17 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2019/01/17 09:18:18 | <-- Wrapper Stopped
STATUS | wrapper  | 2019/01/17 09:18:19 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2019/01/17 09:18:19 | Launching a JVM...
INFO   | jvm 1    | 2019/01/17 09:18:19 | Java HotSpot(TM) 64-Bit Server VM warning: ignoring option MaxPermSize=64M; support was removed in 8.0
INFO   | jvm 1    | 2019/01/17 09:18:19 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2019/01/17 09:18:19 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2019/01/17 09:18:19 | 
INFO   | jvm 1    | 2019/01/17 09:18:20 | log4j:WARN No appenders could be found for logger (io.mycat.memory.MyCatMemory).
INFO   | jvm 1    | 2019/01/17 09:18:20 | log4j:WARN Please initialize the log4j system properly.
INFO   | jvm 1    | 2019/01/17 09:18:20 | log4j:WARN See http://logging.apache.org/log4j/1.2/faq.html#noconfig for more info.
INFO   | jvm 1    | 2019/01/17 09:18:20 | MyCAT Server startup successfully. see logs in logs/mycat.log
